Marker_name	Gene_symbol	protein_control	protein_stim	log2_protein_change	rna_control	rna_stim	log2_rna_change	atac_control	atac_stim	log2_atac_change
CD11c	ITGAX	1442.55	1187.69	-0.280248556993446	3.56	1.9	-0.652980924149807	14.75	17.71	0.248457729966143
CD34	CD34	740.76	686.77	-0.109026283471283	0.25	0.07	-0.22431729826094	40.07	37.48	-0.093976148209014
CD138-1(Syndecan-1)	SDC1	734.71	569.79	-0.366177141425758	0	0	0	5.25	8.86	0.657731456828462
CD269(BCMA)	TNFRSF17	364.42	268.82	-0.437558307209502	0.05	0.52	0.533681995777463	0.6	0.86	0.217230716220669
CD90(Thy1)	THY1	1043.19	685.53	-0.604989577685381	0	0.04	0.0565835283663675	2.7	3.18	0.17597767156457
CD117(c-kit)	KIT	743.69	384.98	-0.948113890066541	0.3	0	-0.37851162325373	17.57	14.83	-0.23031255979824
CD45RA	PTPRC	4006.22	3904.88	-0.0369540910891989	1598.64	938.42	-0.767905048578721	408.53	419.3	0.0374503165505267
CD123	IL3RA	1131.81	1560.15	0.462703256333281	3.26	2.49	-0.287626394016186	16.42	23.42	0.487318576388539
CD105	CD7	2307.16	509.04	-2.17806093372604	272.88	334.54	0.292940843999916	26.07	24.19	-0.103843765480723
CD201	PROCR	734.77	913.03	0.312986664111906	2.01	1.15	-0.485426827170242	10.73	10.31	-0.0526040840386879
CD194	CCR4	1580.33	1728.92	0.129566854032428	10.64	23.31	1.06245883512044	13.99	19.53	0.453733244160743
CD4-2	CD4	6695.77	5301.48	-0.336798145481496	33.06	16.5	-0.960723512958851	51.71	42.41	-0.280049269476652
CD44-1	CD44	7127.01	8291.32	0.218276430172446	243.33	204.28	-0.251237939902855	290.99	326.51	0.165619996839687
CD8a	CD8A	155991.67	116734.39	-0.418236238369719	68.98	71.42	0.0494455122363281	86.89	86.58	-0.00509757711262306
CD14	CD14	1027.5	791.03	-0.376914811940862	4.67	0.45	-1.96729583492729	18.56	17.54	-0.077265126326703
CD16	FCGR3A	733.06	685.34	-0.096974552104417	5.32	2.09	-1.03231772027273	11.45	11.23	-0.0257213384280566
CD56(NCAM)Recombinant	NCAM1	1291.09	1056.49	-0.289062543089852	0.75	0.63	-0.102482957601251	41.97	40.75	-0.0415535795251616
CD25	IL2RA	4497.5	41813.64	3.21649221420712	35.37	689.49	4.24679968994229	139.83	276.61	0.979104843621214
CD45RO	PTPRC	3182.71	2706.6	-0.233694306667862	1598.64	938.42	-0.767905048578721	408.53	419.3	0.0374503165505267
CD279	PDCD1	2419.6	4871.09	1.00917608761811	2.31	8.42	1.50889584280557	10.53	22.23	1.01059664115704
TIGIT	TIGIT	785.77	893.94	0.185849014288869	42.04	47.85	0.182680484299124	63.52	74.33	0.223478090837013
Rat-IgG2b-IsotypeCtrl	NA	176.14	90.86	-0.947381335307904	NA	NA	NA	NA	NA	NA
CD20	MS4A1	501.41	493.62	-0.0225446036086597	4.72	8.64	0.753017999451572	4.89	2.73	-0.659092003575223
CD335	NCR1	804.7	787.28	-0.0315345841457667	1.4	0.67	-0.523186303134466	3.3	3.36	0.0199914751874659
CD294	PTGDR2	562.55	348.85	-0.687807125048171	0.55	0.19	-0.381306641966294	2.42	4.55	0.69849144635157
CD31	PECAM1	12567.17	9053.48	-0.473070905608892	17.61	10.31	-0.718479126069331	99.89	81.17	-0.296099512821205
CD44-2	CD44	8638.39	10137.64	0.230862784840177	243.33	204.28	-0.251237939902855	290.99	326.51	0.165619996839687
CD133-1	PROM1	830.72	676.83	-0.295174433971205	0	0	0	44.24	45.89	0.0516813497310002
Podoplanin	PDPN	222.31	116.63	-0.924791809953859	0.1	0.15	0.0641303374197153	2.27	2.41	0.06048110352609
CD140a	PDGFRA	408.64	353.14	-0.210036791769905	0	0.07	0.0976107966264223	14.75	17.62	0.241501244284153
CD140b	PDGFRB	479.18	352.41	-0.442232452458807	0.25	0.19	-0.0709665213541436	19.68	19.17	-0.036025101701973
Cadherin11	CDH11	557.72	440.25	-0.340529185696173	0	0	0	14.71	14.95	0.0218732433580352
CD340	ERBB2	1268.19	1023.56	-0.308903585827661	0.95	0.48	-0.397876948120661	41.77	42.47	0.0234208884017518
CD146	MCAM	898.57	703.85	-0.351919280635857	0.75	0.45	-0.271302021817394	26.75	25.08	-0.0895439018937532
CD324	CDH1	1352.47	1001.92	-0.432456379243285	0.85	1.3	0.314108590428063	25.72	49.19	0.909479938285457
IgM	IGHM	188.17	187.82	-0.00267172892733312	4.72	10.54	1.01255617186709	NA	NA	NA
TCRgd	TRD/TRG	1008.5	844.98	-0.254945448880419	NA	NA	NA	NA	NA	NA
CD195	CCR5	861.38	557.85	-0.625862616376981	3.46	3.35	-0.0360283091842142	19.68	29.04	0.538648627199337
CD196	CCR6	1513.27	1256.94	-0.267559354585145	8.23	10.99	0.377429105768449	29.85	29.6	-0.0117388364567661
CD185	CXCR5	404.98	417.41	0.0435086754731205	3.16	3.5	0.113341473075945	51.55	34.6	-0.56181352299578
CD103	ITGAE	1551.69	1127.56	-0.460286697766339	33.66	72.13	1.07719170752773	135.86	143.05	0.0738688080139391
CD69	CD69	2424.55	90391.79	5.21982387905037	60.76	251.35	2.03068142891771	80.01	92.05	0.19990614278186
CD161	KLRB1	425.86	387.42	-0.136145489536411	78.07	17.02	-2.13353141349862	7.75	6.66	-0.191938624794734
CD152	CTLA4	500.19	493.35	-0.0198247973160623	5.47	46.58	2.87851765443263	55.45	81.26	0.543217490840019
CD223	LAG3	1024.5	1305.17	0.349015186227298	9.08	36.19	1.88341910911207	13.47	24.85	0.837099358670572
CD27	CD27	22171.61	22112.09	-0.00387796785583977	161.5	216.61	0.421305137247332	46.19	55.1	0.249519599359313
CD107a	LAMP1	1703.52	2465.92	0.533345403640391	51.63	49.27	-0.0661877057974069	25.52	25.05	-0.0257974029467171
CD95	FAS	3083.83	5565.86	0.851672814600508	34.07	55.3	0.682897491714779	80.85	99.06	0.289811035631187
CD134	TNFRSF4	987.74	5148.6	2.38079727043627	42.49	478.8	3.46367754371673	6.24	13.67	1.01880726859018
HLA-DR	HLA-DRA	3201.09	4107.54	0.359611954911695	52.18	48.04	-0.116924798166886	4.53	4.52	-0.0026112134565382
CD1c	CD1C	600.66	604.45	0.00905937681262504	0.05	0.04	-0.0138057995250304	0.48	0.68	0.182864057149811
CD11b-2	ITGAM	1152.33	946.69	-0.28331824777727	1.45	0.71	-0.518785424116673	20.19	21.52	0.0878232397080599
CD64	FCGR1A	908.04	936.99	0.045228764161612	0	0.07	0.0976107966264223	0.24	0.65	0.41212590385894
CD141	THBD	1034.89	1200.02	0.213389362754348	0.05	0	-0.070389327891398	1.19	1.55	0.219566377257685
CD1d	CD1D	418.9	377.29	-0.150553148558291	0	0	0	1.51	2.79	0.59451048422032
CD314	KLRK1	5867.74	5667.49	-0.0500863202902293	4.42	1.12	-1.35422858679067	35.46	32.9	-0.105029288015428
CD66b	CEACAM8	598.58	391.55	-0.61107583546011	0.05	0.11	0.0801703486839834	1.91	2.44	0.241389411793814
CD35	CR1	8631.3	8669.42	0.00635687613705401	0.6	0.07	-0.580461108486215	28.9	28.71	-0.00919687925005285
CD57-Recombinant	B3GAT1	2325.18	1675.86	-0.472200492774519	0.7	0.37	-0.311358853177175	12.92	13.94	0.102020936940509
CD366	HAVCR2	1117.82	1117.04	-0.00100614448602346	2.71	12.44	1.85704204615796	104.74	117.93	0.169591447860883
CD272	BTLA	441.8	352.29	-0.325802308312884	5.27	3.87	-0.364543670719697	83.11	80.34	-0.0483123446714666
CD278	ICOS	10980.85	39037.32	1.82976985747581	32.71	64.09	0.949259286904685	75.04	93.29	0.310346240871355
CD275-2	ICOSLG	1716.22	668.14	-1.35969488700779	1.61	1.08	-0.327466278428792	NA	0	NA
CD96	CD96	1731	1557.06	-0.152688138233919	102.6	58.8	-0.792806613488449	348.67	433.06	0.311900454744658
CD39	ENTPD1	2196.56	1802.77	-0.284887164575407	3.21	3.98	0.242325509001685	45.35	57.06	0.324975233113769
CD178	FASLG	812.64	625.75	-0.376500515352402	2.91	10.05	1.49880585697144	44.4	56.47	0.340116751657132
CX3CR1	CX3CR1	808.79	670.61	-0.269924115877801	2.41	0.86	-0.874469117916141	22.78	26.96	0.233615645629781
CD24	CD24	1150.25	759.84	-0.597536155525135	0.75	0.41	-0.311659759433535	3.18	5.35	0.603253649578646
CD21	CR2	663.38	953.88	0.523310796567317	0.25	0.07	-0.22431729826094	36.61	27.16	-0.417468972403009
CD79b	CD79B	1060.54	937.3	-0.17803756420444	14.8	10.91	-0.407751145200351	13.67	10.49	-0.352490073027277
CD66a/c/e	CEACAM1	391.6	400.4	0.0319804438964459	6.57	1.79	-1.44002817815654	16.81	16.73	-0.0064949802029301
CD244	CD244	2192.16	1737.22	-0.33540037613951	1.45	0.56	-0.651235720140322	61.57	51.15	-0.26280385129221
CD235ab	GYPA	167.28	151.95	-0.137803616323225	0	0	0	2.35	3.39	0.390059844190224
Siglec-8	SIGLEC8	1499.41	879.41	-0.769109346420489	0.1	0.04	-0.0809199953835675	0.72	3.06	1.23907116248308
CD206	MRC1	974.67	677.96	-0.523066686257026	3.31	0.22	-1.82080672152621	21.3	19.65	-0.11090192850086
CD169	SIGLEC1	492.49	360.79	-0.447868318520164	0	0	0	4.01	4.01	0
CD370	CLEC9A	555.34	442.76	-0.326187206324331	0	0	0	7.04	8.68	0.267811546095666
XCR1	XCR1	388.91	286.48	-0.439679564757327	0	0	0	3.26	4.04	0.242570303274078
Notch1	NOTCH1	1422.09	2518.4	0.824053289382104	14.6	23.5	0.651235720140322	103.94	121.05	0.217907600025707
integrin-7	ITGB7	6764.9	4104.33	-0.720783658995127	38.98	20.22	-0.913853815829863	53.94	56.62	0.0687127500840143
CD268	TNFRSF13C	1167.23	1412.8	0.27525370841457	5.12	7.41	0.458574147562492	9.18	10.79	0.211826156904067
CD42b	GP1BB	425.74	454.01	0.0925409062514829	0	0	0	1.63	2.32	0.336120442054622
CD54	ICAM1	1790.79	3744.46	1.06374135300579	5.97	16.57	1.33388363013995	32.31	38.7	0.253183653355969
CD62P	SELP	1922.1	1715.7	-0.163795839071583	0.45	0.15	-0.334419039070559	75.36	71.42	-0.07642892592776
CD119	IFNGR1	1428.32	839.49	-0.766026387287527	31.71	16.87	-0.872192125041288	53.86	50.41	-0.0937056100979506
TCRab	TRA	5118.31	443.3	-3.52634332496372	NA	NA	NA	NA	NA	NA
Notch3	NOTCH3	981.94	663.66	-0.564486821709688	0.5	0.3	-0.206450877467426	11.53	13.34	0.194658609380044
CD68	CD68	461.65	362.73	-0.347053268462386	5.57	2.98	-0.723124939778681	11.92	21.25	0.784199266047197
Rat-IgG1k-isotypeCtrl	NA	2264.41	1192.52	-0.924549434646856	NA	NA	NA	NA	NA	NA
Rat-IgG1l-IsotypeCtrl	NA	772.03	391.32	-0.978493519674233	NA	NA	NA	NA	NA	NA
Rat-IgG2c-IsotypeCtrl	NA	527.31	288.64	-0.867123861953813	NA	NA	NA	NA	NA	NA
CD192	CCR2	592.17	556.8	-0.0886976999305525	3.41	1.19	-1.00984778595635	13.2	19.94	0.560370512538764
CD102	ICAM2	5035.43	3918.13	-0.361868033807664	67.23	47.55	-0.490934920654372	92.93	71.54	-0.372809263889546
CD106	VCAM1	1835.86	1325.3	-0.469834532593177	0.25	0.19	-0.0709665213541436	6.04	6	-0.00822050680496853
CD122	IL2RB	1347.09	943.14	-0.513844107827584	29.75	70.38	1.21493349093506	87.68	120.52	0.454513099634776
CD267	TNFRSF13B	190.3	169.31	-0.167673726237442	0.7	2.53	1.05413343713348	7.15	6.6	-0.100800640787492
CD62E	SELE	526.63	440.36	-0.257570710129338	0	0.04	0.0565835283663675	7.39	8.8	0.224110938562747
CD135	FLT3	412.43	323.81	-0.348047030025224	0	0.22	0.286881147788162	21.27	25.62	0.257409013124102
CD41	ITGA2B	1739.98	1118.94	-0.636478186738736	0.85	0.45	-0.351472370501378	22.26	22.05	-0.0130843461565181
CD137	TNFRSF9	505.32	2146.98	2.08485918238026	5.67	77.3	3.55325364099382	19	37.24	0.935082523318662
CD43	SPN	5070.85	3382.36	-0.584055385864869	104.51	53.03	-0.965547153719031	32.47	29.63	-0.127923184087572
CD163	CD163	664.54	560.24	-0.245907542391652	0.25	0	-0.321928094887362	3.94	3.51	-0.131383608329297
CD83	CD83	1049.3	1187.46	0.178291879708104	9.63	38.47	1.892614922362	41.7	40.72	-0.0334969119880871
CD357	TNFRSF18	947.06	744.89	-0.34601548108345	22.58	159.53	2.76720731134276	12.16	23.18	0.877654755513882
CD59	CD59	1107.69	1107.38	-0.000403447311623161	40.24	40.03	-0.00736517847557345	107.92	105.72	-0.0294383158592111
CD309	KDR	285.15	227.35	-0.325524817170615	0	0.07	0.0976107966264223	4.37	4.01	-0.100111484790204
CD124	IL4R	551.86	501.08	-0.138996937549855	42.29	91.31	1.09245314384235	72.1	128.87	0.829124895093711
CD13	ANPEP	3246.9	2105.13	-0.624912725023973	2.26	0.41	-1.20917680183228	7.87	7.64	-0.0379027921375954
CD184	CXCR4	5942.37	3268.35	-0.862277364657965	322.4	134.35	-1.2566247912587	98.46	65.92	-0.571678985764409
CD2	CD2	33961.31	55852.33	0.717708707979606	527.6	1029.2	0.962676115081721	109.98	169.86	0.622514979397511
CD29	ITGB1	3342.72	2739.65	-0.286935944765726	189.19	99.87	-0.914944230047227	127.07	126.14	-0.0105145748754688
CD303	CLEC4C	502.39	376.14	-0.416576384330547	0.2	0	-0.263034405833794	3.62	3.66	0.0124371032382226
CD49b	ITGA2	503.67	496.59	-0.0203828363780729	1.76	1.97	0.105794664022597	64.07	103.46	0.682886149978827
CD61	ITGB3	373.77	263.87	-0.500721022350936	0.15	0.07	-0.104023064543228	15.5	17.12	0.135116930913057
CD81	CD81	11213.23	10318.23	-0.119995240598078	126.48	165.45	0.384817946249772	25.04	25.62	0.0317811227462564
CD98	SLC3A2	1386.55	2349.21	0.760249913178283	90.51	149.84	0.721017744109035	99.45	99.21	-0.00345108118130639
CD177	CD177	147.8	152.73	0.0470242041512532	0	0	0	0.79	0.68	-0.091498354485496
CD55	CD55	11490.69	11726.97	0.029362337848125	133.71	99.91	-0.416787801114131	156.17	178.06	0.188117223549026
IgD	IGHD	389.28	549.23	0.495525267972431	0.65	1.15	0.381870635343644	NA	NA	NA
CD18	ITGB2	11966.02	11144.66	-0.102581890803998	56.54	28.41	-0.968258436852223	127.71	112.05	-0.18716315463118
CD28	CD28	12336.68	2363.28	-2.38359832487197	77.31	98.98	0.352442979029691	168.13	215.33	0.355101162514994
TSLPR	CRLF2	8.92	19.63	1.05633179549961	0.3	0.11	-0.227951946678348	32.04	35.69	0.151173217829098
CD38-1	CD38	4708.44	5251.44	0.157432257689006	6.57	23.24	1.67902449348722	38.71	58.13	0.574387916240174
CD127	IL7R	15142.44	4404.06	-1.78145939179006	1468.5	288.85	-2.34194696826418	201.16	183.65	-0.130704306851799
CD45-2	PTPRC	27492.74	26039.73	-0.0783332792471947	1598.64	938.42	-0.767905048578721	408.53	419.3	0.0374503165505267
CD15	FUT4	495.43	423.67	-0.22524810644746	2.36	2.87	0.20387233336565	28.1	28.44	0.0167585182613666
CD22	CD22	1891.01	2920.97	0.627021652106082	0.35	0.34	-0.0107264065930585	12.12	15.07	0.29260220905701
CD71	TFRC	5061.75	53832.34	3.41050678730957	17.36	88.77	2.28966733629958	60.02	63.99	0.0909355680662441
B7-H4	VTCN1	389.46	288.53	-0.431461918990865	0	0	0	10.41	11.83	0.169222378801001
CD26	DPP4	7868.31	9668.83	0.29725338437919	35.02	40.7	0.21124920242575	188.21	200.41	0.0901469758423354
CD193	CCR3	516.62	514.72	-0.00530536641717963	0.05	0.04	-0.0138057995250304	31.92	42.47	0.40105575985646
CD115	CSF1R	297.67	124.63	-1.24937131713198	1.3	0.22	-0.914752713381489	15.46	19.32	0.30393606635054
CD204	MSR1	446.69	354.69	-0.331879678779469	0.1	0.04	-0.0809199953835675	79.3	71.21	-0.153201345209024
CD144	CDH5	1560.3	1127.09	-0.468865602505547	0	0	0	7.31	6.21	-0.204849217529522
CD301	CLEC10A	378.35	281.57	-0.424921232519933	0	0	0	4.81	3.54	-0.355845866113614
CD1a	CD1A	653	452.46	-0.528315340420017	0	0	0	0.4	0.51	0.109121722380113
CD207	CD207	492.31	374.51	-0.393643204962243	0	0	0	0.76	1.55	0.53492181822156
CD63	CD63	2046.93	3858.62	0.914292409899471	138.22	244.87	0.820529234160819	27.94	34	0.274290000187966
CD284	TLR4	383.78	278.05	-0.463510166621241	0.35	0.22	-0.146078259487945	1.87	1.63	-0.125987937383386
CD304	NRP1	1787.92	1453.72	-0.298347377534269	1.91	0.48	-0.975421977279334	99.77	103.13	0.0473195695941476
CD36	CD36	144.62	125.98	-0.197607231286163	0.8	0.19	-0.597035333021731	56.28	56.71	0.0107898384069646
CD172a	SIRPA	1925.46	1272.28	-0.597402521692139	0.7	0.45	-0.229481846122767	6.48	10.91	0.671063237976477
CD85g	LILRA4	368.27	338.92	-0.119480812021561	0	0.15	0.20163386116965	0.68	0.98	0.237039197300849
CD38-2	CD38	2828.91	3243.35	0.19717329411276	6.57	23.24	1.67902449348722	38.71	58.13	0.574387916240174
CD243	ABCB1	697.4	590.69	-0.239212046289974	14.15	5.21	-1.28665262013983	123.3	119.78	-0.0414447182973514
CD72	CD72	1339.46	1910.32	0.511841170460393	0.75	1.08	0.249228606308763	85.78	78.26	-0.130769618848759
CD158	KIR2DL1	388.85	384.02	-0.0179857454733627	0.85	0.22	-0.600644122953426	1.23	1.99	0.4231017742778
MERTK	MERTK	3166.04	1762.42	-0.844758961466866	0.2	0.22	0.0238467419543677	36.81	52.46	0.499691988255844
Folate-Receptor	FOLR2	518.76	333.43	-0.636141340300667	0	0	0	1.71	1.81	0.0522772788670545
TIM-4	TIMD4	317.89	306.5	-0.0524724466973672	0.65	4.39	1.70781924850669	39.75	89.16	1.14568745616642
CD171	L1CAM	514.11	384.44	-0.418374249157797	0.4	0.11	-0.33486715059486	28.26	25.77	-0.128312630497709
CD325	CDH2	2558.54	1800.95	-0.506325572454708	0.05	0.04	-0.0138057995250304	36.49	37.6	0.0420950218673524
CD93	CD93	4819.72	3714.4	-0.375731096986635	0.2	0.07	-0.165423609207371	3.74	3.54	-0.0621947616073442
CD200	CD200	1596.27	1449.12	-0.139435913504464	0.95	4.36	1.45875887670816	29.81	36.44	0.281181752544053
CD338	ABCG2	745.52	565.73	-0.397519338180773	0.4	0.56	0.156119201917282	37.92	45.62	0.260437294347755
C5L2	C5AR2	299.5	261.47	-0.195212457013345	1.05	0.52	-0.43155258606186	4.69	3.98	-0.192282910238501
CD235a	GYPA	418.9	312.68	-0.42075224120579	0	0	0	2.35	3.39	0.390059844190224
CD49a	ITGA1	2678.8	2242.2	-0.256567078395346	9.48	6	-0.582211889705122	131.92	123.85	-0.0903623768764568
CD49d	ITGA4	10402.61	8241.27	-0.335970593855812	157.44	100.47	-0.642883354301095	151.92	144.62	-0.0705685909623586
CD73	NT5E	5496.53	5635.8	0.036092808062518	3.36	1.64	-0.723790205418473	51.23	57.84	0.171918542882573
CD79a	CD79A	1083.01	844.36	-0.358740310702326	4.97	4.43	-0.136778733460444	38.91	21.46	-0.82939235111067
CD9	CD9	1417.63	822.1	-0.785358739735972	6.92	2.01	-1.39573694331991	37.96	30.35	-0.313528234392941
TCR-V-7.2	TRA	585.75	262.21	-1.15653163507519	NA	NA	NA	NA	NA	NA
TCR-V-2	TRD	1849.36	567.43	-1.70275138134403	NA	NA	NA	NA	NA	NA
TCR-V-9	TRG	543.92	256.33	-1.08242478370447	NA	NA	NA	NA	NA	NA
TCR-V-24-J-18	TRAV24	597.48	424.21	-0.493127509733901	1.15	0.3	-0.725825036561005	NA	NA	NA
CD354	TREM1	1455.93	1425.67	-0.0302798963196054	0.4	0.04	-0.428843298803874	7.11	7.46	0.0609557489026768
CD202b	TEK	1459.41	1050.07	-0.47451469836078	0	0	0	15.66	16.29	0.053549468276734
CD305	LAIR1	4207.46	4435.67	0.0761848442642747	6.87	0.93	-2.02776278823941	27.82	16.64	-0.708219774617227
LOX-1	OLR1	1025.42	584.24	-0.81052090369674	1.25	0.15	-0.968291140272662	6.52	4.73	-0.392197522920732
CD158b	KIR2DL2	575.13	474.6	-0.276645668101316	NA	NA	NA	NA	NA	NA
CD203c	ENPP3	706.62	531.68	-0.409705710090438	0.05	0.04	-0.0138057995250304	58.79	62.68	0.0909361249834346
CD133-2	PROM1	890.88	699.75	-0.347949773296978	0	0	0	44.24	45.89	0.0516813497310002
CD209	CD209	2000.82	1409.67	-0.504931719759969	0.2	0.04	-0.206450877467426	1.39	3.48	0.906488114076856
CD110	MPL	617.39	629.15	0.0271782969514185	0	0	0	11.49	12.51	0.113254197717727
CD158e1	KIR3DL1	3998.41	3094.6	-0.369568122053949	0.65	0.26	-0.389042290745899	4.21	3.8	-0.11824896666999
CD158f	KIR2DL5A	312.7	242.34	-0.366412040559927	NA	NA	NA	NA	NA	NA
CD337	NCR3	655.5	548.03	-0.257910028247009	11.34	10.02	-0.16321817057826	11.69	12.51	0.0903356054845787
CD253	TNFSF10	542.09	624.32	0.203403361663055	96.68	112.01	0.210315333681145	94.92	98.05	0.046325316362625
CD186	CXCR6	789.13	608.39	-0.374724213465721	6.27	6.59	0.062144521495872	30.73	34.42	0.158716690834276
CD226	CD226	2865.13	3197.52	0.15830045643084	24.38	52.47	1.07503760755751	223.06	284.31	0.348645196974016
CD205	LY75	1755.25	1713.88	-0.0343905990590823	9.98	7.3	-0.403694812770912	101.64	102.51	0.0121770762761514
CCR10	CCR10	1711.46	1278.74	-0.420219556664814	0.5	0.26	-0.251538766995965	18.09	16.05	-0.163045363492403
CD271	NGFR	972.96	982.56	0.0141505409168474	0.1	0.07	-0.0398927271235128	18.6	17.62	-0.0740005814437769
CD109	CD109	8944.55	6402.57	-0.482293752271328	1.51	8.75	1.9577148546862	45.95	77.81	0.747253543313651
CD11a/CD18	ITGAL	515.21	389.82	-0.401453791208653	59.95	59.36	-0.0140334149808912	80.25	93.86	0.223432055388986
CD126	IL6R	1344.16	620.37	-1.11425328994771	28.35	9.72	-1.45305559753964	145.08	144.8	-0.00276795076992258
GP130	IL6ST	840.55	526.7	-0.673331007108078	94.07	60.14	-0.63687360821642	127.67	130	0.0258910899554622
CD164	CD164	200.38	281.3	0.487308719194542	117.85	136.66	0.211967511784907	107.76	111.81	0.0527469040890039
CD142	F3	1418.12	3530.56	1.31530901955784	0.25	0.52	0.282143228781498	4.93	10.82	0.995126025631529
CD307c/FcRL3	FCRL3	551.37	460.81	-0.25833555344165	4.36	3.24	-0.338168735894573	11.01	9.87	-0.143884210678325
CD307d	FCRL4	491.09	349.47	-0.48963124327839	0	0.26	0.333423733725192	2.7	4.28	0.513012658842141
CD307e	FCRL5	4490.53	2938.51	-0.611631284155173	0.3	0.3	0	3.54	3.45	-0.0288869614371548
CD319	SLAMF7	312.33	369.95	0.24354183228111	10.23	16.38	0.630070154413799	29.89	44.7	0.565054294317794
CD138-2	SDC1	841.04	624.35	-0.429224895377832	0	0	0	5.25	8.86	0.657731456828462
CD199	CCR9	1132.05	832.34	-0.443234391109496	1.4	0	-1.26303440583379	10.69	10.05	-0.0812285602528622
CD45RB	PTPRC	7977.27	6297.06	-0.341168446102003	1598.64	938.42	-0.767905048578721	408.53	419.3	0.0374503165505267
CD99	CD99	5910.3	4929.95	-0.261609815655648	127.58	102.96	-0.306637716925503	120.4	127.44	0.0813261485827254
CLEC12A	CLEC12A	797.19	553.13	-0.526507729272703	0.35	0.26	-0.0995356735509146	31.52	27.52	-0.189353275631139
CD46	CD46	2546.45	2135.97	-0.253487175447918	134.61	91.86	-0.546334381973769	57.59	54.18	-0.086508993254675
VEGFR3	FLT4	406.87	328.6	-0.307393154182968	0.7	0.34	-0.343301745679929	21.42	18.22	-0.222177942031677
CLEC1B	CLEC1B	810.75	729.89	-0.151381184682381	0.65	0.07	-0.624855227844669	6.72	7.82	0.19217780828944
